Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,63,JAPAN,2021,JPN,Angola,Port Maintenance Planning_01,5128.332453,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2239,JAPAN,2021,JPN,Panama,Port Maintenance Planning_06,5128.332453,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,238,JAPAN,2022,JPN,Bhutan,Core Human Resource Development for Road Asset Management (JFY2021-2023)_01,5245.118441,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,782,JAPAN,2022,JPN,Democratic Republic of the Congo,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_02",5273.221216,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2898,JAPAN,2022,JPN,Niger,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_10",5293.467997,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3115,JAPAN,2021,JPN,Vietnam,Project on Strengthening Management Ability of Operation and Maintenance Company for the opening of Urban Railway Line 1 in Ho Chi Minh City_01,5402.081018,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3137,JAPAN,2022,JPN,Panama,Urban Railways Management_06,5435.800357,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4310,JAPAN,2022,JPN,Vietnam,Urban Railways Management_11,5435.800357,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,629,JAPAN,2021,JPN,Egypt,Improvement of Port Cargo Transport Efficiency for African Countries_02,5494.478561,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,751,JAPAN,2022,JPN,Democratic Republic of the Congo,Project for Capacity Development for the realization of the Urban Transport Master Plan in Kinshasa City /PDTK_01,5738.992287,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2010,JAPAN,2021,JPN,Nepal,Core Human Resource Development for Road Asset Management (JFY2020)_04,5747.444284,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2314,JAPAN,2022,JPN,Mongolia,Road Maintenance (B)_03,5938.979657,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4235,JAPAN,2022,JPN,Uzbekistan,Road Maintenance(A)_05,5958.979154,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,717,JAPAN,2021,JPN,Ethiopia,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (C)_01",6008.892614,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,,Yes,No,,Water and sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3272,JAPAN,2022,JPN,Philippines,Technical Assistance Project to Establish of the Philippine Railway Institute_02,6187.4193,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1400,JAPAN,2022,JPN,Indonesia,"Disaster Risk Reduction and Management on Infrastructure (River, Road and Port)_08",6237.690056,,Disbursed,Bilateral,ODA,Grant,Adaptation,Disaster risk reduction,,Yes,No,Exchange rate is determined based on the date of committement,Disaster risk reduction,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,492,JAPAN,2022,JPN,Cambodia,Expenses for Private Sector Partnership in Roads_02,6242.03463,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1336,JAPAN,2021,JPN,Madagascar,"Urban Development and Logistics Advisor for the implementation of TaToM (Tananarive - Toamasina, Madagascar)",6264.409498,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3056,JAPAN,2022,JPN,Palau,Road Maintenance (C)_04,6310.771729,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2109,JAPAN,2022,JPN,Mali,Road Maintenance (E)_10,6369.316958,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3404,JAPAN,2022,JPN,Republic of the Congo,Road Maintenance (E)_11,6369.316958,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3741,JAPAN,2022,JPN,Sri Lanka,Advisory services for improving Oil spill management capabilities of Sri Lanka Coast Guard up to Tier I in open seas,6408.227908,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3985,JAPAN,2022,JPN,Timor-Leste,The Airport Development and Maintenance,6421.280653,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,624,JAPAN,2021,JPN,Egypt,Comprehensive Urban Transportation Planning_03,6491.581172,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1601,JAPAN,2021,JPN,Mozambique,Comprehensive Urban Transportation Planning_08,6491.581172,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2885,JAPAN,2021,JPN,Timor-Leste,Comprehensive Urban Transportation Planning_14,6491.581172,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3353,JAPAN,2022,JPN,Philippines,Disaster Relief Assistance for Typhoon Rai (Odette) Domestic Logistic Support,6518.976507,,Committed,Bilateral,ODA,Grant,Adaptation,Other (Emergency response and Reconstruction Relief) ,Emergency response and Reconstruction Relief,Yes,No,Exchange rate is determined based on the date of committement,Other (Emergency response and Reconstruction Relief),,,,,Emergency response and Reconstruction Relief,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1666,JAPAN,2022,JPN,Kazakhstan,Road Maintenance(A)_01,6612.742461,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
ITA-CTF-FTC-2024-V1.1-20250328-105338_started ITALY.xlsx,Table1_2021,214,ITALY,2021,ITA,Lebanon,Construction of a road drainage channel,6623.346824,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,No,UA,Construction of a road drainage channel,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1847,JAPAN,2021,JPN,Multi-regional assistance,Core Human Resource Development for Road Asset Management (JFY2019)_05,6780.431693,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1010,JAPAN,2022,JPN,Ethiopia,Core Human Resource Development for Road Asset Management (JFY2021-2023)_02,6789.420543,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
