Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,149,JAPAN,2022,JPN,Bangladesh,Data Collection Survey for Roads and Bridges Sector,76615.9191,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3330,JAPAN,2022,JPN,Philippines,Data Collection Survey on improvement of public transport system in Metro Manila,76831.24563,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2669,JAPAN,2022,JPN,"Developing countries, unspecified",Operational Support for Road Asset Management Core Human Resource Development Program,77586.0298,,Committed,Multi-bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2265,JAPAN,2021,JPN,Papua New Guinea,The Project for Capacity Development of DoT in Port Policy and Administration Phase2,78094.64803,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3123,JAPAN,2021,JPN,Vietnam,Data Collection Survey,78175.96625,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,392,JAPAN,2021,JPN,Cambodia,Project for Improvement of Road Traffic Safety on Trunk Roads,78507.38925,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1498,JAPAN,2021,JPN,Micronesia Federation,The Project for Maritime Education and Training Capacity Enhancement on Fisheries and Maritime Institute,78721.50446,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1837,JAPAN,2021,JPN,Multi-regional assistance,Data collection survey on Road asset management platform technical support (FY 2020),78861.36268,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2158,JAPAN,2021,JPN,Pakistan,Follow-up Cooperation (Survey) for the Project for Security Improvement in Port Karachi and Port Bin Qasim,80133.75367,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1046,JAPAN,2021,JPN,Indonesia,Technical Assistance on Environmental Social Considerations for Patimban Access Toll Road Development,82370.57419,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2849,JAPAN,2021,JPN,Thailand,Formulation of the Second Mass Rapid Transit Master Plan in Bangkok Metropolitan Region (M-MAP2) Project,82621.13454,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3337,JAPAN,2022,JPN,Philippines,Road Planning and Management Advisor,83328.91394,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,608,JAPAN,2022,JPN,Chile,Survey on building IoT infrastructure that enable to realize safe public transportation under COVID-19 pandemic,83695.82502,,Committed,Bilateral,ODA,Grant,Cross-cutting,Other (Communications),Communications,Yes,Yes,,Other (Communications),,,,,Communications,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1902,GERMANY,2022,DEU,Montenegro,"Alpe-Adria clean transport alliance, 2022",84510,,Committed,Bilateral,ODA,Grant,Mitigation,Water and sanitation,Agriculture,,,,Water and sanitation,,,,,Agriculture,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,542,JAPAN,2021,JPN,Democratic Republic of the Congo,Project for Capacity Development for the realization of the Urban Transport Master Plan in Kinshasa City /PDTK_02,86718.93507,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2905,JAPAN,2021,JPN,Togo,Assistance for management and operational safety in the fishing port of Lome,87891.69871,,Disbursed,Bilateral,ODA,Grant,Adaptation,Other (Fishing) ,Fishing,Yes,No,,Other (Fishing),,,,,Fishing,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2746,JAPAN,2022,JPN,Myanmar,Data Collection Survey on Railway Improvement for Yangon Mandalay Corridor,88682.02663,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2200,JAPAN,2021,JPN,Palestine,The Project for Installation of Solar Panel System in Rafah and Khanyounis fishing ports in Gaza,89199.48248,,Disbursed,Bilateral,ODA,Grant,Mitigation,Energy ,,No,No,,Energy,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1571,JAPAN,2021,JPN,Morocco,Development of Maritime Fisheries,89280.89637,,Disbursed,Bilateral,ODA,Grant,Adaptation,Other (Fishing) ,Fishing,Yes,No,,Other (Fishing),,,,,Fishing,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,745,JAPAN,2021,JPN,Fiji,The Project for Provision of Emission Testing Equipment to the Land Transport Authority,89554.27593,,Committed,Bilateral,ODA,Grant,Mitigation,Other (General environment protection),General environment protection,Yes,No,,Other (General environment protection),,,,,General environment protection,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3157,JAPAN,2022,JPN,Papua New Guinea,Project for Capacity Development on Road Maintenance in Papua New Guinea Phase II (CDRM II),90768.88311,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,791,JAPAN,2022,JPN,Djibouti,Project for Improvement of Operation and Maintenance Management for Road Construction Machinery,93379.81241,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,121,AUSTRALIA,2022,AUS,Oceania,Maritime Boundaries Support in the Pacific,94941.60768,,Disbursed,Regional,ODA,Grant,Adaptation,Other (Government and civil society),15110,,,,Other (Government and civil society),,,,,Public sector policy and administrative management,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1739,GERMANY,2022,DEU,China,"Refrigeration technology in the logistics industry, 2022",95139,,Committed,Bilateral,ODA,Grant,Mitigation,Energy,Agriculture,,,,Energy,,,,,Agriculture,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,451,JAPAN,2022,JPN,Cambodia,Data Collection Survey on Urban Transport in Phnom Penh,95174.78351,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3335,JAPAN,2022,JPN,Philippines,Project for Master Plan on High Standard Highway Network Development (Phase 2),96092.60715,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3156,JAPAN,2022,JPN,Papua New Guinea,The Project for Construction of Perinatal Medical Centre (PMC) at Port Moresby General Hospital,97425.74468,,Committed,Bilateral,ODA,Grant,Adaptation,Other (Health and population),Health and population,Yes,No,Exchange rate is determined based on the date of committement,Other (Health and population),,,,,Health and population,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1802,JAPAN,2022,JPN,Kyrgyzstan,Preparatory Survey on the Project for the Improvement of Road Maintenance and Pavement Equipment in Batken,98074.76776,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2817,JAPAN,2022,JPN,Nepal,The Project for Operation and Maintenance of the Sindhuli Road (Phase 2),99407.47921,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,184,JAPAN,2021,JPN,Belize,The Project for the Improvement of Emergency Response Transportation at the Southern Regional Hospital,100856.5519,,Committed,Bilateral,ODA,Grant,Adaptation,Other (Health and population),Health and population,No,No,,Other (Health and population),,,,,Health and population,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4386,JAPAN,2022,JPN,Vietnam,Co-benefits projects for air pollution control in Vietnam,101576.2967,,Disbursed,Bilateral,OOF,Grant,Adaptation,Transport,,No,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,957,JAPAN,2021,JPN,India,The Capacity Development Project on Highways in Mountainous Regions,101839.7234,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,32,JAPAN,2021,JPN,Afghanistan,Data Collection Survey on Urban Transport in Afghanistan,102580.7078,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3629,JAPAN,2022,JPN,Solomon Islands,The Project for Greater Honiara Transport Master Plan Study,102721.4078,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1849,JAPAN,2021,JPN,Multi-regional assistance,"Information gathering and confirmation to contribute to the construction of a post-corona society in the economic infrastructure field (logistics, transportation, urban functions)",102756.1638,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
ITA-CTF-FTC-2024-V1.1-20250328-105338_started ITALY.xlsx,Table1_2021,413,ITALY,2021,ITA,Democratic Republic of the Congo,Building 5 bridges ,104840.9569,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,UA,UA,"The project involves the construction of five bridges over the Tetele and Mokao-Sementoko rivers, to allow the local population to facilitate circulation between the villages of Nsho and Sementoko",Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2652,JAPAN,2022,JPN,"Developing countries, unspecified",Road Asset Management (A)_04,104996.4125,,Committed,Multi-bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
ITA-CTF-FTC-2024-V1.1-20250328-105338_started ITALY.xlsx,Table1_2022,630,ITALY,2022,ITA,North Macedonia,"North Macedonia: Rail Corridor VIII, Phase 3 - Economic, E&S and GET assessment",105304.8364,,Committed,Multi-bilateral,ODA,Grant,Adaptation,Transport,,Yes,UA,"The rationale of the Railway Corridor VIII Project in North Macedonia is to complete the railway link between the Country and Bulgaria, as part of the commitment of North Macedonia in the development of the Pan European Corridor VIII. The Project will significantly influence the socio‐economic growth of the North‐Eastern region of the Country. The Eastern Section Project comprises 88.1 km of railway running across the North‐Eastern region of North Macedonia. The Project has been divided into the following 3 sections: Section 1: Kumanovo to Beljakovce (30.8 km); Section 2: Beljakovce to Kriva Palanka (33.9 km); Section 3: Kriva Palanka to Deve Bair, at the Bulgarian Border (23.4 km): no previous railway development has been undertaken within this section. Therefore, the construction of the railway line and structures is required along the entire route. In this framework, the EBRD is considering a sovereign loan of up to 94 million EUR to the Republic of North Macedonia for the benefit of the Public Enterprise for Railways Infrastructure for completion of the last section of rail infrastructure on the eastern end of rail Corridor VIII, including: the construction, signalling and telecommunication from Kriva Palanka to the Bulgarian border for a total length of 23.4 km, including a station in Kriva Palanka and a halt in the village of Zhidilovo; the electrification works for the overall eastern rail line including sections 1, 2 and 3 for a total length of 88.1 km. The technical assistance project “Economic, E&S and GET assessment”, will include the assessment of physical climate risks and recommendations for potential climate change adaptation measures, the Economic and Green Economic Transition Approach (GET) assessment of the Project, as well as additional Environmental and Social (E&S) due diligence. The Project design review assignment is currently ongoing. Decisions will then be made on the scope of this technical assistance and how to proceed.",Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2049,JAPAN,2021,JPN,Nicaragua,The Project for Construction of Quebrada El Limón Bridge in Jalapa,106253.8586,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,12,JAPAN,2022,JPN,Afghanistan,Data Collection Survey on Urban Transport in Afghanistan,108707.5615,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1504,JAPAN,2022,JPN,Indonesia,Hydrography for Charting and Disaster Management (Internationally Accredited Category B)_02,108758.0377,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,179,AUSTRALIA,2022,AUS,Solomon Islands,Solomon Islands Infrastructure Program,108869.2452,,Disbursed,Bilateral,ODA,Grant,Mitigation,"Energy
Other (Communications)
Transport
Water and sanitation","23110
22011
21011
14010",,,,"Energy
Other (Communications)
Transport
Water and sanitation",,,,,Energy policy and administrative management,22011,21011,Water sector policy and administrative management,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2657,JAPAN,2021,JPN,South Sudan,Expenses for Priority Sectors/Regions in Ports,108943.6376,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,310,JAPAN,2022,JPN,Bosnia and Herzegovina,Project for Formulation of Sarajevo Public Transport Management and Operation Capacity Development Plan,108976.4685,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2747,JAPAN,2022,JPN,Myanmar,Data Collection Survey on Navigation Channel and Port Possibilities in Yangon River,109595.0872,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4072,JAPAN,2022,JPN,Tunisia,Expenses for Priority Sectors/Regions in Roads_04,112112.2353,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1708,GERMANY,2022,DEU,Bosnia and Herzegovina,"CLIMASUM - Climate mitigation through sustainable urban mobility, 2022",112595,,Committed,Bilateral,ODA,Grant,Mitigation,Water and sanitation,Agriculture,,,,Water and sanitation,,,,,Agriculture,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2904,JAPAN,2021,JPN,Togo,Data Collection Survey on the Safety Measures in Lome Fishing Port,112871.9272,,Disbursed,Bilateral,ODA,Grant,Adaptation,Other (Fishing) ,Fishing,Yes,No,,Other (Fishing),,,,,Fishing,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,93,JAPAN,2021,JPN,Asia,Contribution about Asia EST Reginal Forum,113891.0655,,Disbursed,Multi-Bilateral,OOF,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,618,JAPAN,2022,JPN,Chile,Zero Carbon City development project through decarbonized transportation and renewable energy,114130.6705,,Disbursed,Bilateral,OOF,Grant,Cross-cutting,Energy ,,Yes,No,,Energy,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3887,JAPAN,2022,JPN,Thailand,The Project for Technology Development on Lifetime Management of Road and Bridge for Strengthening Resilience in Thailand_02,117068.9532,,Committed,Bilateral,ODA,Grant,Cross-cutting,Other (Social infrastructure and services),Social infrastructure and services,Yes,Yes,Exchange rate is determined based on the date of committement,Other (Social infrastructure and services),,,,,Social infrastructure and services,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3125,JAPAN,2021,JPN,Vietnam,Preparatory Survey on Hanoi Public Transportation Management and Operation Improvement Project,117131.9496,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,549,JAPAN,2021,JPN,Djibouti,Preparatory Survey for the Project for the Enhancement of the Ability of Maritime Safety and Security,118055.2417,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
ITA-CTF-FTC-2024-V1.1-20250328-105338_started ITALY.xlsx,Table1_2021,185,ITALY,2021,ITA,Bosnia and Herzegovina,Port of Brcko – Corporate Development Plan,118274.0504,,Committed,Multi-bilateral,ODA,Grant,Mitigation,Transport,,Yes,UA,"The EBRD is considering co-financing an investment amonting to 12.4 million EUR aiming to rehabilitate and upgrade of facilities at the Port of Brcko and improve of road and railway access to the Port. The investment is expected to significantly improve operational efficiency of the Port and increase the cargo handling capacity of the port, which is currently limited by the difficult rail access and outdated infrastructure. in this framework the technical assitance will assist the J.P. Luka Brcko in its capacity and institutional building in order to allow the company to operate on a commercial basis. This translates into the following objectives: Institutional development, Organisation, Management Information System, Tariff calculation methodology setting and financial management, Strategic development, Business planning and operational performance improvement.",Transport,,,,,,,,,
SWE-CTF-FTC-2024 SWEDEN.xlsx,Table1_2022,1218,SWEDEN,2022,SWE,Rwanda,IOM/International Organization for Migration,118721.3708,,Disbursed,Multi-bilateral,ODA,Grant,Adaptation,Other (Government and civil society),"15190  Facilitation of orderly, safe, regular and responsible migration and mobility",UA,UA,SE-0-SE-6-15644A0101-ETH-15190,Other (Government and civil society),,,,,"Facilitation of orderly, safe, regular and responsible migration and mobility",,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,141,JAPAN,2022,JPN,Bangladesh,Chattogram-Cox's Bazar Highway Improvement Project Preparatory Survey,119567.8556,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,958,JAPAN,2021,JPN,India,Project for Capacity Development on Railway Safety,120838.3294,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3177,JAPAN,2021,JPN,Zambia,Project for Improvement of Bridge Maintenance Capability Building in Zambia,122034.6548,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4138,JAPAN,2022,JPN,Uganda,the project for Improvement of Systematic Junction Management in Kampala City,122276.983,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3271,JAPAN,2022,JPN,Philippines,Technical Assistance Project to Establish of the Philippine Railway Institute_01,122780.3829,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,743,GERMANY,2021,DEU,–Latin America and the Caribbean,"Participation, energy, prosperity - Sustainability with cooperatives in Latin America, BMZ-Nr. 2019.2604.7, 2021",123529,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
NOR-CTF-FTC-2024 NORWAY.xlsx,Table1_2021,768,NORWAY,2021,NOR,South Sudan,Emergency Support after flooding in Holy Trinity Peace Village HTPV Kuron (2021001350),128033.5215,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,DAC sector: 21020,,,CRS-ID: 2021001350,Transport,,,,,Road transport,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1563,JAPAN,2022,JPN,Indonesia,Zero Carbon Society Development in Bandung City through Energy Saving of Infrastructure System and Mobility Improvement,129348.0932,,Disbursed,Bilateral,OOF,Grant,Cross-cutting,Energy ,,No,No,Exchange rate is determined based on the date of committement,Energy,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,154,JAPAN,2021,JPN,Bangladesh,The Project on Technical Assistance for Mass Rapid Transit Safety Management System of Line 6,131376.7608,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4038,JAPAN,2022,JPN,Tonga,Preparatory Survey for The Project for Improvement of Fua'amotu International Airport,132385.8712,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2175,JAPAN,2021,JPN,Palau,"Project to accelerate carbon-free and to create co-benefit through EV vehicles in State of Koror, Palau (Kitakyushu-Koror Cooperation Project)",132728.1101,,Disbursed,Bilateral,OOF,Grant,Mitigation,Energy ,,Yes,No,,Energy,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1471,JAPAN,2022,JPN,Indonesia,Data Collection Survey on Urban Public Transportation Systems in major metropolitan areas,137063.2505,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3427,JAPAN,2022,JPN,Rwanda,Poverty reduction and Rural development through labor-based road improvement,137165.3898,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4136,JAPAN,2022,JPN,Uganda,Preparatory Survey on the Project for Reconstruction of Karuma Bridge,139661.7015,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3441,JAPAN,2022,JPN,Rwanda,Feasibility Study for transport improvement in Kigali,141137.7915,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1335,JAPAN,2021,JPN,Madagascar,Project for Capacity Development for Road and Bridge Maintenance Management,141200.0702,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,494,JAPAN,2022,JPN,Cambodia,Verification Survey with the Private Sector for Disseminating Japanese Technologies for the development of Irrigation and Agricultural/Rural Roads utilizing the STEIN soil hardener,141351.5963,,Committed,Bilateral,ODA,Grant,Adaptation,Agriculture ,,Yes,Yes,,Agriculture,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3562,JAPAN,2022,JPN,Serbia,Project for Modernization of Public Urban Transport in the City of Belgrade,141419.4317,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,389,JAPAN,2022,JPN,Burkina Faso,Preparatory Survey for the Project for Improvement of Road Maintenance Equipment in Ouagadougou,142087.8913,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2008,JAPAN,2021,JPN,Nepal,Data Collection Survey on the Sindhuli Road Capacity Enhancement in Nepal,142222.6069,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1044,JAPAN,2021,JPN,Indonesia,JABODETABEK Urban Transportation Policy Integration Project Phase 2,143384.5145,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,209,AUSTRALIA,2021,AUS,Indonesia,ADB Sustainable Infrastructure Assistance Program Phase 2 (SIAP 2),144378.844,,Disbursed,Bilateral,ODA,Grant,Adaptation,"Cross-cutting
Energy
Other (Communications)
Transport
Water and sanitation","43030
23110
22011
21010
14020",,,,"Cross-cutting
Energy
Other (Communications)
Transport
Water and sanitation",,,,,Urban development and management,Energy policy and administrative management,22011,Transport policy and administrative management,Water supply and sanitation - large systems
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2266,JAPAN,2021,JPN,Papua New Guinea,Project for Capacity Development on Road Development in Papua New Guinea (CDRM II) Phase II,145552.7817,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2406,JAPAN,2021,JPN,Philippines,Project for Comprehensive Traffic Management Plan for Metro Manila,146003.7174,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1904,JAPAN,2022,JPN,Liberia,Preparatory Survey for the Project for Extension of Japan Freeway in Monrovia,146212.7563,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1698,JAPAN,2022,JPN,Kenya,Preparatory Survey on The Project for Implementation of Intelligent Transport System in Mombasa Region,147018.8688,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
